model,loss,learning_rate,n_iterations,train_loss,train_accuracy,test_accuracy,test_precision_macro,weight_norm_l2,weight_update_norm_l2,fit_time_ms,peak_memory_kb
Линейная регрессия (MSE),mse,0.1,10,0.102609,0.9839,0.963,0.9616,0.6939,0.01857511,4.574,39.7
Линейная регрессия (MSE),mse,0.1,20,0.093803,0.9919,0.963,0.9616,0.7546,0.00580877,7.522,39.7
Линейная регрессия (MSE),mse,0.1,30,0.091601,0.9919,0.9815,0.9825,0.7707,0.00408454,12.806,39.98
Линейная регрессия (MSE),mse,0.1,40,0.090335,0.9919,0.9815,0.9825,0.7807,0.0032035,15.759,43.17
Линейная регрессия (MSE),mse,0.1,50,0.089531,0.9919,0.9815,0.9825,0.7889,0.00257773,19.405,46.45
Линейная регрессия (MSE),mse,0.1,60,0.089004,0.9919,0.9815,0.9825,0.796,0.00209916,23.377,49.74
Линейная регрессия (MSE),mse,0.1,70,0.088651,1.0,0.9815,0.9825,0.8021,0.00172009,26.804,53.04
Линейная регрессия (MSE),mse,0.1,80,0.088414,1.0,0.9815,0.9825,0.8073,0.00141414,31.974,56.99
Линейная регрессия (MSE),mse,0.1,90,0.088253,1.0,0.9815,0.9825,0.8118,0.00116472,34.885,60.26
Линейная регрессия (MSE),mse,0.1,100,0.088143,1.0,0.9815,0.9825,0.8155,0.00096026,38.265,64.21
Softmax-регрессия (log-loss),logloss,0.5,10,0.12771,0.9839,0.963,0.9608,1.801,0.0663591,4.752,45.99
Softmax-регрессия (log-loss),logloss,0.5,20,0.083317,0.9919,0.9815,0.9792,2.2508,0.03721318,8.841,48.18
Softmax-регрессия (log-loss),logloss,0.5,30,0.064363,0.9919,0.9815,0.9792,2.5441,0.02690034,13.745,51.33
Softmax-регрессия (log-loss),logloss,0.5,40,0.05324,0.9919,0.9815,0.9792,2.7681,0.02144277,17.869,54.52
Softmax-регрессия (log-loss),logloss,0.5,50,0.045736,0.9919,0.9815,0.9792,2.9518,0.01798694,23.077,57.82
Softmax-регрессия (log-loss),logloss,0.5,60,0.04026,0.9919,0.9815,0.9792,3.1088,0.01556759,26.329,61.12
Softmax-регрессия (log-loss),logloss,0.5,70,0.036055,1.0,0.9815,0.9792,3.2465,0.01376318,30.66,64.42
Softmax-регрессия (log-loss),logloss,0.5,80,0.032709,1.0,0.9815,0.9792,3.3694,0.01235784,35.382,68.37
Softmax-регрессия (log-loss),logloss,0.5,90,0.029974,1.0,0.9815,0.9792,3.4807,0.01122831,37.081,71.76
Softmax-регрессия (log-loss),logloss,0.5,100,0.027691,1.0,0.9815,0.9792,3.5825,0.0102984,42.787,75.71
